address	source_file	source_line	context
0x0000000000000000000000000000000000000000	client/src/services/ChainSyncService/index.ts	128	if (client.ownerAddress === '0x0000000000000000000000000000000000000000') {
0x000000000000000000000000000000000000dead	solidity/contracts/CawBuyAndBurn.sol	23	address public constant DEAD = 0x000000000000000000000000000000000000dEaD;
0x002f850ee998974d6cc00e50cd0814b098c05bfa	solidity/contracts/sp1-vendor/SP1VerifierGroth16.sol	38	return 0x002f850ee998974d6cc00e50cd0814b098c05bfade466d28573240d057f25352;
0x0bc5f399265fa0fb95f5473c8ec1737d1dbb015c	solidity/docs/TESTNET_MINTING.md	3	MintableCAW: <a href="https://goerli.etherscan.io/token/0x0bc5f399265fA0Fb95F5473c8ec1737d1dBB015c#code">0x0bc5f399265fA0Fb95F5473c8ec1737d1dBB015c</a>
0x0c3e245f3939b4d9f30e088988dd9d7c8f86b11d	client/src/abi/deployments.ts	82	CawProfileL2: '0x0c3e245f3939B4D9f30e088988dD9D7C8F86b11d',
0x14ffaceb52025d2a04f3fa997e3946b17eb28af2	client/src/abi/addresses.ts.example	16	export const CAW_NAMES_ADDRESS = '0x14FFACEB52025d2A04f3FA997e3946b17eB28aF2' as const;
0x1641b0c89b42d19d58f206b81b170325a3e160ad	solidity/scripts/helpers.js	20	cawProfilesMinterAddress = '0x1641b0c89B42D19d58F206b81b170325a3E160aD'
0x183227397098d014dc2822db40c0ac2ecbc0b548	solidity/contracts/sp1-vendor/Groth16Verifier.sol	47	uint256 constant FRACTION_1_2_FP = 0x183227397098d014dc2822db40c0ac2ecbc0b548b438e5469e10460b6c3e7ea4;
0x1a44076050125825900e736c501f859c50fe728c	solidity/scripts/deploy.js	154	lzEndpoint: '0x1a44076050125825900e736c501f859c50fe728c',
0x1b5ee1c13c7d4135ee4173ca4d0df2b847e84199	client/src/abi/deployments.ts	78	MockSwapRouter: '0x1b5ee1C13c7D4135Ee4173Ca4D0dF2B847E84199',
0x1d084cb5f219627285a83a8ce6f70d4eba98fbf3	client/src/abi/deployments.ts	76	CawFontDataB: '0x1D084Cb5F219627285a83A8ce6F70d4EBa98fBf3',
0x27108da237a5200fbcb3fc62ee08ee07d84a1331	solidity/docs/TESTNET_MINTING.md	9	CawNameURI: <a href="https://goerli.etherscan.io/address/0x27108Da237A5200fBcb3fc62eE08Ee07D84a1331#code">0x27108Da237A5200fBcb3fc62eE08Ee07D84a1331</a>
0x287b249b58bf65411d4da89dadef0e30496a0d4c	client/src/abi/deployments.ts	89	CawActions: '0x287b249B58bF65411D4Da89dAdEF0e30496a0D4c',
0x2b149d40ceb8aaae81be18991be06ac3b5b4c5e5	solidity/contracts/sp1-vendor/Groth16Verifier.sol	48	uint256 constant FRACTION_27_82_FP = 0x2b149d40ceb8aaae81be18991be06ac3b5b4c5e559dbefa33267e6dc24a138e5;
0x2f55c492897526677c5b68fb199ea31e2c126416	solidity/scripts/deploy.js	197	dvn: '0x2f55c492897526677c5b68fb199ea31e2c126416',
0x2fcd3ac2a640a154eb23960892a85a68f031ca0c	solidity/contracts/sp1-vendor/Groth16Verifier.sol	49	uint256 constant FRACTION_3_82_FP = 0x2fcd3ac2a640a154eb23960892a85a68f031ca0c8344b23a577dcf1052b9e775;
0x30644e72e131a029b85045b68181585d2833e848	solidity/contracts/sp1-vendor/Groth16Verifier.sol	37	uint256 constant R = 0x30644e72e131a029b85045b68181585d2833e84879b9709143e1f593f0000001;
0x30644e72e131a029b85045b68181585d97816a91	solidity/contracts/sp1-vendor/Groth16Verifier.sol	36	uint256 constant P = 0x30644e72e131a029b85045b68181585d97816a916871ca8d3c208c16d87cfd47;
0x3100b1e890b7a4f3da0b6be0388a9b2aff9c8e79	client/src/abi/deployments.ts	72	CawProfileQuoter: '0x3100B1e890B7a4F3dA0B6Be0388A9b2aFF9c8e79',
0x328b5b2179effc94b61d900807312a104a209d6e	solidity/scripts/helpers.js	17	clientManagerAddress = '0x328b5B2179EFfc94b61D900807312A104A209D6e'
0x360602c0dd788c18240249d4d9ed0451f8bd1ee5	solidity/scripts/test-slash.js	19	const ARCHIVE_ADDRESS = '0x360602c0dd788C18240249d4d9ED0451f8bD1ee5'
0x3b2a9ac4f274ee6e73cbad198f80f455e70c3c05	client/src/abi/deployments.ts	84	CawActionsArchive: '0x3b2A9ac4f274eE6E73CbAD198F80f455e70C3C05',
0x3f63ad5e6309135a9d5fd3540270b93f56fd9cd9	solidity/docs/TESTNET_MINTING.md	5	CawName: <a href="https://goerli.etherscan.io/token/0x3F63Ad5E6309135a9D5fD3540270b93f56FD9CD9#code">0x3F63Ad5E6309135a9D5fD3540270b93f56FD9CD9</a>
0x4388a21c687fdd5f218d7e3d13190cac4c535581	solidity/contracts/sp1-vendor/SP1VerifierGroth16.sol	33	return 0x4388a21c687fdd5f218d7e3d13190cac4c5355818d3605fd5fb811df468ee696;
0x4524922c4614dbbb79fccdce6d2c41caf563fe04	client/src/abi/addresses.ts.example	20	export const CLIENT_MANAGER_ADDRESS = '0x4524922C4614DBbb79FCcdce6d2c41CaF563FE04' as const;
0x454450aa713a99b06ee4aa05ede5d80ca1bd3075	client/src/abi/deployments.ts	91	CawChallengeRelay: '0x454450aA713A99B06EE4aA05Ede5d80ca1bd3075',
0x4c49b7b1f3b02aa0a0121968a6bc30b593be7a19	solidity/scripts/helpers.js	39	// cawActionsAddress = "0x4C49b7B1F3b02Aa0a0121968a6bC30B593bE7a19";
0x55c66cabf9766aefb3a770d9ea64e218df195d9b	solidity/scripts/l2_helpers.js	15	cawProfilesL2Address = '0x55C66CAbF9766AeFB3a770d9ea64E218dF195D9B';
0x5674e4658b988ed9337dd0caa493c6aa908006af	client/src/abi/deployments.ts	83	CawActions: '0x5674e4658b988Ed9337DD0CAa493C6aA908006af',
0x56817dc696448135203c0556f702c6a953260411	client/src/abi/deployments.ts	67	MintableCaw: '0x56817dc696448135203C0556f702c6a953260411',
0x5696675ab8e8e82cbe46c805f47875cf836bfd2a	client/src/abi/addresses.ts.example	31	export const CAW_NAME_MARKETPLACE_ADDRESS = '0x5696675aB8e8E82cBe46C805F47875CF836bFd2A' as const; // Updated after deployment
0x56f0d5da1bc735e03d6a4cd988784ed498fd9ee3	solidity/docs/TESTNET_MINTING.md	11	CawNameMinter: <a href="https://goerli.etherscan.io/address/0x56F0d5DA1Bc735e03d6A4cd988784ED498FD9Ee3#code">0x56F0d5DA1Bc735e03d6A4cd988784ED498FD9Ee3</a>
0x5860d1e0b1bce200b273f41716f5db200fc7f486	client/src/abi/deployments.ts	77	CawBuyAndBurn: '0x5860d1E0b1bcE200B273f41716f5dB200FC7f486',
0x589dedbd617e0cbcb916a9223f4d1300c294236b	solidity/scripts/deploy.js	181	dvn: '0x589dedbd617e0cbcb916a9223f4d1300c294236b',
0x5bcbb34f51156d605331f9d6f76a44dea1d279e5	client/src/abi/deployments.ts	90	CawActionsArchive: '0x5bCbB34f51156D605331f9d6F76a44DEa1d279E5',
0x5fe2f174fe51474cd198939c96e7db65983ea307	solidity/scripts/deploy.js	207	MintableCaw: '0x5fe2f174fe51474Cd198939C96e7dB65983EA307',
0x6404d1d3d878407a0977d99c832453f235da67c3	client/src/abi/deployments.ts	73	CawProfileMarketplace: '0x6404d1D3D878407a0977d99C832453f235DA67C3',
0x6b22437861ecc2ea93fecb742ea3bd5e1d3c7307	solidity/docs/TESTNET_MINTING.md	7	CawActions: <a href="https://goerli.etherscan.io/address/0x6B22437861eCC2Ea93fEcB742EA3BD5E1d3C7307#code">0x6B22437861eCC2Ea93fEcB742EA3BD5E1d3C7307</a>
0x6edce65403992e310a62460808c4b910d972f10f	solidity/scripts/deploy.js	130	lzEndpoint: '0x6EDCE65403992e310A62460808c4b910D972f10f',
0x701cae1460569acc64d69b0b757ae847e1565b94	client/src/abi/addresses.ts.example	24	export const CAW_ACTIONS_ADDRESS = "0x701Cae1460569acc64d69B0B757AE847E1565B94" as const;
0x74de2ace81ec0be0b1dc7614679dc50254c4305f	solidity/scripts/test-slash.js	21	const CAW_ACTIONS_ADDRESS = '0x74dE2aCE81EC0be0b1DC7614679dc50254c4305f'
0x78569305b07972350ff55e1aa5d399adc9dcdda3	client/src/abi/addresses.ts.example	29	export const CAW_ACTIONS_ARCHIVE_ADDRESS = '0x78569305b07972350fF55e1aa5d399ADC9dCdDA3' as const;
0x8195a9a8a97658672d5384e19a763804d6e16639	client/src/abi/deployments.ts	85	CawChallengeRelay: '0x8195A9a8a97658672d5384e19a763804D6E16639',
0x8d65d141a60b1e1136be62604783aade8e7290d9	client/src/abi/deployments.ts	71	CawProfileMinter: '0x8D65D141a60b1E1136Be62604783AADe8E7290D9',
0x8eebf8b423b73bfca51a1db4b7354aa0bfca9193	solidity/scripts/deploy.js	132	dvn: '0x8eebf8b423b73bfca51a1db4b7354aa0bfca9193',
0x92a2d161c13539ed7646e0be5d464495dddfed17	client/src/abi/addresses.ts.example	17	export const CAW_NAME_QUOTER_ADDRESS = '0x92A2d161c13539eD7646e0BE5D464495DddfeD17' as const;
0x9ceffadc838a39d10a241d9a473844ef0cb6274f	client/src/abi/deployments.ts	74	CawProfileURI: '0x9CEffADC838a39D10a241d9A473844Ef0cB6274f',
0x9e059a54699a285714207b43b055483e78faac25	solidity/scripts/deploy.js	189	dvn: '0x9e059a54699a285714207b43b055483e78faac25',
0x9fcbb3d6880cd3293f1a731fe6c958a6621a74bf	client/src/abi/deployments.ts	68	CawProfile: '0x9fcbb3d6880cD3293F1a731Fe6c958a6621a74bF',
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48	client/src/abi/addresses.ts.example	10	// Mainnet: USDC 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48, USDT 0xdAC17F958D2ee523a2206206994597C13D831ec7
0xa4d38428641e9285eb2798b418c8634a0fcb8131	solidity/scripts/helpers.js	19	cawProfilesL2MainnetAddress = '0xa4d38428641E9285eb2798B418C8634A0fcB8131'
0xa5c515d35c291110090b6edc4278acdef1424c7a	client/src/abi/deployments.ts	70	CawClientManager: '0xA5C515D35C291110090b6edc4278acdEf1424C7a',
0xa99936edd087ce11824232ebd83b036c90163688	client/src/abi/deployments.ts	69	CawProfileL2: '0xa99936edD087cE11824232ebD83B036C90163688',
0xaee8a40eede3c17da85339f97472c32618aea905	client/src/abi/addresses.ts.example	23	export const CAW_ACTIONS_MAINNET_ADDRESS = '0xaEE8a40EEDe3c17dA85339F97472c32618AEa905' as const;
0xb379a474c770cb5e7657c8ecc0ff2f7d2863b5bb	client/src/abi/addresses.ts.example	21	export const CAW_NAMES_L2_ADDRESS = "0xB379a474C770CB5e7657C8EcC0FF2f7D2863b5bb" as const;
0xb3ff59926e50596c1563bb703455050256e70951	solidity/scripts/test-slash.js	20	const RELAY_ADDRESS = '0xb3fF59926e50596C1563BB703455050256E70951'
0xb7ec882a2a8fc7adda25492b4440da5a0a43b8cf	client/src/abi/deployments.ts	75	CawFontDataA: '0xB7ec882a2a8Fc7aDDa25492b4440da5A0a43B8cf',
0xbacef3de5a2c8036268df5a59c3cce2fbd533883	client/src/abi/addresses.ts.example	18	export const CAW_NAMES_MINTER_ADDRESS = '0xbacef3De5A2c8036268df5a59c3cce2fbd533883' as const;
0xbb9c2a3e8222d13f9e8469bb71ce62c3c2e82941	client/src/abi/deployments.ts	88	CawProfileL2: '0xbB9c2A3e8222d13f9E8469BB71cE62c3c2E82941',
0xbe2329e895e0c8e2934c8b3096445c9a11c99d49	client/src/abi/addresses.ts.example	30	export const CAW_CHALLENGE_RELAY_ADDRESS = '0xBE2329e895e0c8e2934c8b3096445c9a11C99d49' as const;
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2	client/src/abi/addresses.ts.example	9	export const WETH_ADDRESS = "0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2" as const;
0xc19139cb84c680a6e14116da060561765e05aa45	solidity/contracts/sp1-vendor/Groth16Verifier.sol	53	uint256 constant EXP_SQRT_FP = 0xC19139CB84C680A6E14116DA060561765E05AA45A1C72A34F082305B61F3F52; // (P + 1) / 4;
0xd20be35d2365c0f7daf563a47b29eb5a165c2007	client/src/abi/deployments.ts	79	CawActions: '0xD20bE35D2365C0f7DaF563A47b29eB5a165C2007',
0xdac17f958d2ee523a2206206994597c13d831ec7	client/src/abi/addresses.ts.example	10	// Mainnet: USDC 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48, USDT 0xdAC17F958D2ee523a2206206994597C13D831ec7
